pi,amnt,payment,merch
3,39,1,3
1,12,1,4
3,64.75,1,5
2,5,1,16
3,20.01,1,2
13,6.39,1,5
13,50.89,1,5
13,21.38,1,5
NA,117.5,0,NA
3,330,1,1
3,56.96,1,1
1,2,1,9
NA,2,0,NA
3,41.96,1,2
3,41.5,1,2
4,701.08,1,15
1,5,1,16
3,27.44,1,4
6,110,1,6
3,16.01,1,4
1,1.75,1,1
4,29.85,1,1
4,5,1,16
4,146.87,1,1
3,4.68,1,5
4,106.95,1,7
4,278,1,14
1,7,1,1
3,69.2,1,3
4,30,1,2
2,50,1,16
4,5.63,1,4
NA,174,0,NA
3,76.11,1,2
3,21.35,1,4
4,11.45,1,1
3,104.88,1,5
4,13,1,17
4,13,1,5
4,75.93,1,1
NA,60,0,NA
3,37,1,3
4,30.34,1,1
3,35.67,1,1
3,28.47,1,5
3,10.99,1,1
4,114.33,1,3
4,15.39,1,4
3,10,1,1
3,48.97,1,5
3,300,1,9
3,118,1,10
2,55,1,8
3,17.88,1,2
4,150,1,16
6,135,1,16
4,30,1,16
4,50,1,5
6,10,1,17
3,6085.16,1,9
1,7,1,4
1,4,1,7
1,9.99,1,1
13,31.15,1,5
1,8.63,1,5
NA,15,0,NA
4,7.91,1,5
3,44.89,1,1
3,38.88,1,1
3,53.22,1,2
3,60,1,5
4,18.34,1,5
4,2.28,1,5
3,6.58,1,4
4,31.02,1,1
3,3.56,1,5
3,20,1,4
3,86.42,1,1
1,23.77,1,5
1,10.85,1,4
4,13.67,1,5
4,6.91,1,1
3,10,1,4
3,31.07,1,3
3,271.6,1,5
3,175.16,1,5
3,22.5,1,3
1,9,1,6
3,70,1,6
3,26.7,1,5
3,68.44,1,8
3,501.47,1,8
3,283.2,1,8
3,524.91,1,15
3,2240.39,1,15
3,411.85,1,15
3,79.77,1,15
3,312.47,1,10
4,33.28,1,2
3,20.13,1,1
4,28.23,1,5
1,4.99,1,1
2,135,1,14
1,6,1,16
3,5.09,1,4
3,35.54,1,3
3,41.34,1,5
4,40.71,1,1
4,16.3,1,4
1,18.87,1,1
4,3.21,1,4
4,36.5,1,3
4,30.57,1,1
4,10.94,1,1
3,48.52,1,1
3,237.17,1,9
3,17.66,1,1
NA,200,0,NA
3,38.33,1,5
2,437,1,14
3,240.89,1,5
4,31.35,1,5
1,26,1,3
4,13.85,1,5
3,34.45,1,5
1,45,1,13
NA,140,0,NA
3,117.59,1,5
NA,40,0,NA
3,19.45,1,4
3,24.59,1,1
1,20,1,2
3,19.82,1,1
4,125,1,1
4,25.79,1,5
0,27,1,6
4,74.14,1,5
4,111.74,1,1
3,20,1,6
3,20,1,1
2,100.19,1,16
4,149.28,1,3
0,47.18,1,4
3,136.16,1,5
1,21.19,1,5
3,10.13,1,1
1,1,1,21
3,11.81,1,4
3,217.87,1,1
3,28,1,4
3,7.07,1,2
3,35.46,1,1
4,189.28,1,1
5,41.87,1,3
1,23.67,1,3
NA,10,0,NA
NA,20,0,NA
3,46.52,1,2
3,14.33,1,4
0,54.88,1,1
3,12.67,1,4
4,12,1,17
3,23.66,1,3
1,57,1,7
4,30,1,2
1,10,1,2
1,15,1,7
4,103.68,1,18
1,20,1,3
4,46.41,1,3
4,35,1,4
4,68.64,1,5
4,36.47,1,4
3,31.53,1,5
4,2.5,1,21
